,states,value,fed_r,sta_r,local_r,ins_ex,sup_ex,oth_ex,cap_ex,maleAM,maleAS,maleHI,maleBL,maleWH,maleHP,maleTR,femaleAM,femaleAS,femaleHI,femaleBL,femaleWH,femaleHP,femaleTR,math,read
0,Alabama,734974.0,795238.0,4080167.0,2484817.0,3817479.0,2414860.0,594283.0,510091.0,3065.0,4860.0,23593.0,116208.0,197874.0,287.0,6514.0,3107.0,4843.0,22387.0,112891.0,185765.0,319.0,6463.0,266.555318518065,269.020028155068
1,Alaska,130755.0,344111.0,2026555.0,550320.0,1484610.0,1068849.0,92766.0,281914.0,14591.0,3777.0,4201.0,1994.0,30636.0,1699.0,6394.0,13597.0,3583.0,3919.0,1921.0,28112.0,1600.0,6044.0,280.493456179845,258.753761500039
2,Arizona,944978.0,1093834.0,3232013.0,3904660.0,3846357.0,2880184.0,478876.0,497662.0,23818.0,14574.0,235990.0,28544.0,209870.0,1728.0,13624.0,23122.0,14266.0,225346.0,26086.0,197734.0,1604.0,13164.0,282.919489420654,260.317018773005
3,Arkansas,479682.0,581412.0,4075118.0,652095.0,2620399.0,1772639.0,290396.0,511556.0,1463.0,3548.0,28482.0,47474.0,145011.0,1576.0,4921.0,1440.0,3501.0,27222.0,46800.0,136542.0,1464.0,4931.0,275.06475641246897,262.769391809157
4,California,6226523.0,7556365.0,42360470.0,28331207.0,38951948.0,23501848.0,3754315.0,6373893.0,,,,,,,,,,,,,,,275.324573012154,258.76826797665797
5,Colorado,872320.0,715254.0,4354525.0,4578518.0,4578938.0,3170482.0,397263.0,923360.0,3065.0,12475.0,142227.0,19981.0,233579.0,987.0,15966.0,2955.0,13444.0,136187.0,18696.0,218454.0,960.0,15505.0,285.539188724412,258.986842564294
6,Connecticut,505366.0,444073.0,4353546.0,6302218.0,6006275.0,3233901.0,362941.0,530491.0,660.0,12392.0,58738.0,33458.0,145920.0,237.0,6719.0,700.0,12373.0,55646.0,30993.0,136620.0,259.0,6577.0,283.956677264342,268.073225333677
7,Delaware,121845.0,137544.0,1142333.0,737198.0,1072395.0,583951.0,122741.0,103129.0,251.0,2319.0,10084.0,19511.0,29831.0,69.0,1891.0,243.0,2262.0,9657.0,18864.0,27845.0,83.0,1897.0,279.810243773994,273.048030410963
8,District Of Columbia,46155.0,146366.0,0.0,1235916.0,557345.0,379854.0,41841.0,381902.0,56.0,546.0,5913.0,27585.0,3899.0,47.0,643.0,52.0,553.0,5505.0,26985.0,3676.0,38.0,698.0,263.059776256545,262.613290731544
9,Florida,2743641.0,3118041.0,10661586.0,13191864.0,14931173.0,8186082.0,1816178.0,1681665.0,4385.0,34834.0,420323.0,298360.0,527688.0,1948.0,43277.0,4028.0,33933.0,397400.0,284892.0,497188.0,1926.0,42538.0,275.32381795874903,247.65344494672402
10,Georgia,1717805.0,1831221.0,8310872.0,8442573.0,10081483.0,5324072.0,996277.0,1879063.0,1680.0,31371.0,120594.0,305280.0,345702.0,935.0,27231.0,1507.0,30193.0,114516.0,296871.0,324769.0,883.0,26917.0,278.711796774375,277.191363427262
11,Hawaii,182384.0,259390.0,2381547.0,62746.0,1377713.0,835930.0,145560.0,161801.0,289.0,27066.0,9625.0,1612.0,11247.0,26911.0,10132.0,262.0,24632.0,9249.0,1652.0,10145.0,24640.0,9267.0,279.340145034503,263.383001406664
